
        6699 atoms 
           2 atom types 
  -60.0000000       60.000000     xlo xhi 
  -60.0000000       60.000000     ylo yhi 
  -60.0000000       60.000000     zlo zhi 
 Atoms 

	1	1	0.000000000	0.000000000	0.000000000
	2	1	0.000000000	-0.746325798	-2.785325798
	3	1	2.039000000	1.019500000	-1.765825798
	4	1	2.039000000	-1.765825798	-1.019500000
	5	2	-8.157000000	-4.424504983	28.055467429
	6	2	-6.117000000	-2.658679185	29.074967429
	7	2	-4.078000000	-4.424504983	28.055467429
	8	2	-2.039000000	-2.658679185	29.074967429
	9	2	0.000000000	-4.424504983	28.055467429
	10	1	2.039000000	-2.658679185	29.074967429
	11	1	4.078000000	-4.424504983	28.055467429
	12	2	6.117000000	-2.658679185	29.074967429
	13	1	8.157000000	-4.424504983	28.055467429
	14	2	-12.235000000	-7.957022605	26.015967429
	15	2	-10.196000000	-6.190330781	27.035967429
	16	2	-8.157000000	-7.957022605	26.015967429
	17	2	-6.117000000	-6.190330781	27.035967429
	18	1	-6.117000000	-8.976522605	27.781793227
	19	2	-4.078000000	-7.209830781	28.801793227
	20	2	-4.078000000	-7.957022605	26.015967429
	21	1	-2.039000000	-6.190330781	27.035967429
	22	2	-2.039000000	-8.976522605	27.781793227
	23	2	0.000000000	-7.209830781	28.801793227
	24	2	0.000000000	-7.957022605	26.015967429
	25	2	2.039000000	-6.190330781	27.035967429
	26	2	2.039000000	-8.976522605	27.781793227
	27	1	4.078000000	-7.209830781	28.801793227
	28	1	4.078000000	-7.957022605	26.015967429
	29	2	6.117000000	-6.190330781	27.035967429
	30	1	6.117000000	-8.976522605	27.781793227
	31	1	8.157000000	-7.957022605	26.015967429
	32	2	10.196000000	-6.190330781	27.035967429
	33	1	12.235000000	-7.957022605	26.015967429
	34	1	-12.235000000	-11.488674202	23.976967429
	35	2	-10.196000000	-9.722848403	24.996467429
	36	2	-8.157000000	-10.742348403	26.762293227
	37	2	-8.157000000	-11.488674202	23.976967429
	38	1	-6.117000000	-9.722848403	24.996467429
	39	1	-6.117000000	-12.508174202	25.742793227
	40	2	-4.078000000	-10.742348403	26.762293227
	41	1	-4.078000000	-11.488674202	23.976967429
	42	1	-2.039000000	-9.722848403	24.996467429
	43	1	-2.039000000	-12.508174202	25.742793227
	44	2	0.000000000	-10.742348403	26.762293227
	45	1	0.000000000	-11.488674202	23.976967429
	46	1	2.039000000	-9.722848403	24.996467429
	47	2	2.039000000	-12.508174202	25.742793227
